2025/01/17 20:23:37 [emerg] 1#1: "server" directive is not allowed here in /etc/nginx/nginx.conf:1
2025/01/18 07:36:52 [emerg] 1#1: host not found in upstream "app-dev" in /etc/nginx/nginx.conf:12
2025/01/20 03:50:39 [emerg] 1#1: host not found in upstream "app-dev" in /etc/nginx/nginx.conf:12
2025/01/23 08:32:24 [emerg] 1#1: host not found in upstream "app-dev" in /etc/nginx/nginx.conf:12
2025/01/27 03:46:20 [emerg] 1#1: host not found in upstream "app-dev" in /etc/nginx/nginx.conf:12
2025/01/28 10:15:15 [emerg] 1#1: host not found in upstream "app-dev" in /etc/nginx/nginx.conf:12
2025/01/29 11:32:30 [emerg] 1#1: invalid number of arguments in "proxy_pass" directive in /etc/nginx/nginx.conf:13
2025/01/29 11:35:12 [emerg] 1#1: invalid number of arguments in "proxy_pass" directive in /etc/nginx/nginx.conf:13
2025/01/30 03:26:16 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/30 03:30:45 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/30 03:33:39 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/30 09:54:06 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/30 13:42:29 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/30 14:09:07 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/30 14:19:36 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/30 14:37:07 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 03:27:16 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 03:40:26 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 05:08:39 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 09:14:37 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 15:54:07 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 16:19:36 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 16:28:27 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 16:29:47 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 12:08:59 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 12:55:29 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 13:13:24 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/01/31 13:15:09 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/01 06:02:11 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/05 04:51:14 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/06 09:13:02 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/06 10:17:06 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/06 10:17:30 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/06 10:22:38 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/06 11:24:59 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/06 12:45:21 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/06 14:42:14 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
2025/02/07 03:53:15 [emerg] 1#1: host not found in upstream "fastapi" in /etc/nginx/nginx.conf:12
